Hash,Message,Parent Hashes,Is Merge Commit?,Modified Files
dc226fdb7aae074ce16aa68d088dfde1be654892,add two test files,['8c4e2a30071fdb6b816eb9abdbdad7e9dd0135e2'],False,"['test_config.py', 'test_run.py']"
98f5131bb6bf252294a63cf1ed38227773112ee5,add test model Megatron_GPT2,['3bc21cd042f4b64f59b7aaf8bcfdf327d28f3589'],False,"['__init__.py', 'ds_config_func_bs4.json', 'ds_config_func_bs8.json', 'ds_config_func_bs8_no_zero.json', 'ds_config_func_scheduler.json', 'ds_config_perf_bs16.json', 'ds_config_perf_bs32.json', 'ds_config_perf_bs8.json', 'ds_gpt2_test.sh', 'run_checkpoint_test.py', 'run_func_test.py', 'run_perf_baseline.py', 'run_perf_test.py', 'test_common.py', 'run_sanity_check.py']"
e9b097f1ad5fc6894bd0c56386344da4fffa7d47,examples -> DeepSpeedExamples,['681001fb6d44f7907d80ceac3ccf07a7f3a6bd36'],False,['ds_gpt2_test.sh']
caaae9924de348201277bb39930e52d67f82124c,Model tests executable fix,['e9b097f1ad5fc6894bd0c56386344da4fffa7d47'],False,['ds_gpt2_test.sh']
b61a22171d126f496058331e51e8e0a1ea7f1954,"Distributed testing (#6)

* Adds distributed_test decorator and some unit tests.

* Setting NCCL backend.

* Parametrizes test.

* rank -> local_rank

* Temporarily disable CUDA initialization.",['97f36c114291223a949f2f7b06f16f4780688d62'],False,"['common.py', 'test_dist.py']"
52c5a936ed834d4abd396dc69da630512a569b7b,"add allreduce test (#7)

* add allreduce test

* comment out set rank to cuda for now

* switched back to gloo",['b61a22171d126f496058331e51e8e0a1ea7f1954'],False,"['common.py', 'test_dist.py']"
d68462038f1d5e91355e92b3f2c2d5c40590f39e,add version check test (#9),['52c5a936ed834d4abd396dc69da630512a569b7b'],False,['test_config.py']
438aa017730881e48f3957727463556b40314448,"Enables NCCL backend in @distributed_test (#13)

* Enables NCCL backend in @distributed_test

* Adds pytest-forked to avoid CUDA re-initialization issue.

* paste typo

* transcription typo",['188f7d4e0b17aac52f6e8d1ede0cd1c36e6fefb6'],False,"['README.md', 'azure-pipelines.yml', 'requirements.txt', 'common.py', 'test_dist.py']"
af81f6f5400e38c5d7a6590bbf6631b9b00faa68,"Handle missing optional configuration fields correctly (#24)

Co-authored-by: Shaden Smith <ShadenTSmith@gmail.com>
Co-authored-by: Jeff Rasley <jerasley@microsoft.com>",['54940278eae9ad4f802ca6269f2d29ea61083c40'],False,"['deepspeed_config.py', 'test_ds_config.py']"
8326aff2799d5b0e3309a8b67b747276b072a6cf,"Improve doc string for add_XXX_arguments (#32)

Unit tests for add_XXX_arguments",['af81f6f5400e38c5d7a6590bbf6631b9b00faa68'],False,"['__init__.py', 'test_ds_arguments.py']"
073da7295fa22c216063fbe9bbbf957b160f4680,"Ported Megatron tutorial. (#30)

* Ported DeepSpeed overview.

* Renamed subsection

* Formatting table of contents

* initial import of Megatron tutorial

* Grammatical edits, formatting, and paths.

* formatting and data download instructions

* formatting tutorial

* formatting tutorial

* formatting tutorial

* formatting tutorial

* formatting tutorial

* formatting tutorial

* new perf chart

* removing TODO

* adding pointer to tutorial

* edits

* azure to low bandwidth

Co-authored-by: Samyam Rajbhandari <samyamr@microsoft.com>",['766f030e722b28fcca66f077f9d89bcf502c3de8'],False,"['README.md', 'DeepSpeed-vs-Megatron.png', 'megatron-gpt2-perf-test.png', 'MegatronGPT2Tutorial.md']"
5a0abc6598ce64bae39bd2f4b6b08ae80c8c093d,"Samyamr/batchconfig (#33)

* simplifying the batch config, using a single assert to test for validity and allowing for specifying only the micro batch size

* Simplifying Batch Config, Adding ability to specify batch using just micro_batch, and adding a bunch of unit tests

* ran formatting

* Typo fixes and added the config file

* reformatting

* path fixes

* removing print statements",['073da7295fa22c216063fbe9bbbf957b160f4680'],False,"['deepspeed_config.py', 'ds_gpt2_test.sh', 'ds_batch_config.json', 'test_config.py']"
ddefa23bd04dda125e4ddb71b4ce304dc4013d67,"Yuxiong doc edits (#38)

* Added features.md and Getting Started guide.

* trimming newlines

* Adding hostfile discussion

* include/exclude emphasis

* Edits overview

* minor edits on the overview

* minor edits

* Fixing broken GPT2 links

* Clarify our relationship with Megatron-LM

* Update README.md

* Update README.md

* minor edits

* fix formatting

Co-authored-by: Shaden Smith <ShadenTSmith@gmail.com>
Co-authored-by: yuxionghe <yuxhe@microsoft.com>",['5a0abc6598ce64bae39bd2f4b6b08ae80c8c093d'],False,"['README.md', 'features.md', 'MegatronGPT2Tutorial.md']"
50ae149f824a887834bdfc7a252b35a68e624132,Moving to major/minor/patch versioning. (#51),['e4c55390aecef3a7e9b7d94cd18d46ac6f2c9b36'],False,"['__init__.py', 'install.sh', 'setup.py', 'test_config.py']"
cf8b9c185f8210ce528be44908cdc86b9947ae33,Typo fix (#57),['8575200079041cf42685b1cae11e0885a5b53507'],False,['README.md']
f78ccc06c947d61134885059f23194e4eb3299a0,"Fix broken link in README.md for the 1Cycle doc. (#60)

* Fix broken link for the 1Cycle doc.

* Removed the 1Cycle link from README.md.",['5a2e4b7d09fa646c401f5fd8e01cb5e2afec2835'],False,['README.md']
4f7d016d3ecbd9c030c7ac5ea395b05b1a625a30,remove the undefined variable in ckpt testing (#67),['f78ccc06c947d61134885059f23194e4eb3299a0'],False,['run_checkpoint_test.py']
4f0680c144e05822396ebf30dc9149db869b52f8,Fix broken links in CIFAR (#69),['4f7d016d3ecbd9c030c7ac5ea395b05b1a625a30'],False,['CIFAR-10.md']
bf2689a9dd4492ff7173763e93cd58115de333bb,"Fix bug in install script, bump TF version (#71)

* bump tf version in dockerfile

* Update install.sh",['4f0680c144e05822396ebf30dc9149db869b52f8'],False,"['Dockerfile', 'install.sh']"
fd53b56a735b8b8eca5cea4872134ca37c702b4f,fix typo (#72),['bf2689a9dd4492ff7173763e93cd58115de333bb'],False,['README.md']
37ff62ccb8637a3b263a163d79fe961946415ade,"Porting BingBertSquad test (#70)

* Porting BingBertSquad test

* Updating default paths.

* Enable model tests.

* Updating DeepSpeedExamples submodule

* Adding BingBertSquad's log uploads.

* Messed up the submodule again :-)",['e6c37c043d9284acc0e549940f201d5f1603b55e'],False,"['DeepSpeedExamples', 'azure-pipelines.yml', 'BingBertSquad_run_func_test.py', 'BingBertSquad_test_common.py', '__init__.py', 'deepspeed_bsz24_fp16_config.json', 'deepspeed_bsz24_fp32_config.json', 'run_BingBertSquad.sh', 'run_BingBertSquad_sanity.sh', 'run_tests.sh', 'run_sanity_check.py']"
807480a04bdc371525776e42c31f7c72d9132f0a,"Fix issue with empty grads for non-fused optimizers (#83)

bug fixes for adamw/lamb and corresponding tests",['37ff62ccb8637a3b263a163d79fe961946415ade'],False,"['fp16_unfused_optimizer.py', 'test_fp16.py']"
bca23057de5b88a659a16b48dc2a15cf5a97232a,"Add requirements for cifar10 (#79)

* add install requirements command line

* add pillow library to fix version

* modify to uppercase

Co-authored-by: Jeff Rasley <jerasley@microsoft.com>",['807480a04bdc371525776e42c31f7c72d9132f0a'],False,"['CIFAR-10.md', 'requirements.txt']"
001abe2362d9edba062070fb05df40925f54cb3e,"Refactor simple model test, fix pythonpath issue (#96)

Also a fix for #94",['f2d7513561eb72f6b9c5188b5a227ecb7b05a2ee'],False,"['__init__.py', 'deepspeed_light.py', 'deepspeed_run.py', 'install.sh', 'simple_model.py', 'test_config.py', 'test_fp16.py']"
